=== Motor Control + Encoder RPM Test (10ms) ===
204, 2.040, 143, 7003, 395.45
205, 2.050, 147, 7036, 450.00
206, 2.060, 151, 7071, 477.27
207, 2.070, 155, 7107, 490.91
208, 2.080, 159, 7142, 477.27
209, 2.090, 163, 7179, 504.55
210, 2.100, 166, 7216, 504.55
211, 2.110, 170, 7258, 572.73
212, 2.120, 174, 7301, 586.36
213, 2.130, 178, 7341, 545.45
214, 2.140, 181, 7380, 531.82
215, 2.150, 185, 7424, 600.00
216, 2.160, 188, 7468, 600.00
217, 2.170, 192, 7513, 613.64
218, 2.180, 195, 7558, 613.64
219, 2.190, 199, 7606, 654.55
220, 2.200, 202, 7652, 627.27
221, 2.210, 205, 7702, 681.82
222, 2.220, 208, 7751, 668.18
223, 2.230, 211, 7799, 654.55
224, 2.240, 214, 7852, 722.73
225, 2.250, 217, 7906, 736.36
226, 2.260, 220, 7960, 736.36
227, 2.270, 223, 8015, 750.00
228, 2.280, 225, 8068, 722.73
229, 2.290, 228, 8125, 777.27
230, 2.300, 230, 8184, 804.55
231, 2.310, 232, 8244, 818.18
232, 2.320, 235, 8303, 804.55
233, 2.330, 237, 8361, 790.91
234, 2.340, 239, 8421, 818.18
235, 2.350, 241, 8481, 818.18
236, 2.360, 242, 8544, 859.09
237, 2.370, 244, 8608, 872.73
238, 2.380, 246, 8671, 859.09
239, 2.390, 247, 8734, 859.09
240, 2.400, 248, 8797, 859.09
241, 2.410, 249, 8863, 900.00
242, 2.420, 250, 8930, 913.64
243, 2.430, 251, 8993, 859.09
244, 2.440, 252, 9059, 900.00
245, 2.450, 253, 9126, 913.64
246, 2.460, 253, 9193, 913.64
247, 2.470, 254, 9261, 927.27
248, 2.480, 254, 9331, 954.55
249, 2.490, 254, 9401, 954.55
250, 2.500, 255, 9472, 968.18
251, 2.510, 254, 9542, 954.55
252, 2.520, 254, 9610, 927.27
253, 2.530, 254, 9678, 927.27
254, 2.540, 253, 9747, 940.91
255, 2.550, 253, 9818, 968.18
256, 2.560, 252, 9889, 968.18
257, 2.570, 251, 9958, 940.91
258, 2.580, 250, 10029, 968.18
259, 2.590, 249, 10099, 954.55
260, 2.600, 248, 10165, 900.00
261, 2.610, 247, 10235, 954.55
262, 2.620, 246, 10307, 981.82
263, 2.630, 244, 10377, 954.55
264, 2.640, 242, 10446, 940.91
265, 2.650, 241, 10515, 940.91
266, 2.660, 239, 10584, 940.91
267, 2.670, 237, 10654, 954.55
268, 2.680, 235, 10722, 927.27
269, 2.690, 232, 10789, 913.64
270, 2.700, 230, 10857, 927.27
271, 2.710, 228, 10925, 927.27
272, 2.720, 225, 10991, 900.00
273, 2.730, 223, 11058, 913.64
274, 2.740, 220, 11125, 913.64
275, 2.750, 217, 11192, 913.64
276, 2.760, 214, 11260, 927.27
277, 2.770, 211, 11326, 900.00
278, 2.780, 208, 11388, 845.45
279, 2.790, 205, 11453, 886.36
280, 2.800, 202, 11517, 872.73
281, 2.810, 199, 11579, 845.45
282, 2.820, 195, 11643, 872.73
283, 2.830, 192, 11704, 831.82
284, 2.840, 188, 11763, 804.55
285, 2.850, 185, 11820, 777.27
286, 2.860, 181, 11878, 790.91
287, 2.870, 178, 11934, 763.64
288, 2.880, 174, 11992, 790.91
289, 2.890, 170, 12050, 790.91
290, 2.900, 166, 12103, 722.73
291, 2.910, 163, 12157, 736.36
292, 2.920, 159, 12210, 722.73
293, 2.930, 155, 12261, 695.45
294, 2.940, 151, 12312, 695.45
295, 2.950, 147, 12366, 736.36
296, 2.960, 143, 12414, 654.55
297, 2.970, 139, 12464, 681.82
298, 2.980, 135, 12510, 627.27
299, 2.990, 131, 12555, 613.64
300, 3.000, 127, 12601, 627.27
301, 3.010, 123, 12644, 586.36
302, 3.020, 119, 12686, 572.73
303, 3.030, 115, 12725, 531.82
304, 3.040, 111, 12763, 518.18
305, 3.050, 107, 12801, 518.18
306, 3.060, 103, 12838, 504.55
307, 3.070, 99, 12874, 490.91
308, 3.080, 95, 12909, 477.27
309, 3.090, 91, 12945, 490.91
310, 3.100, 88, 12978, 450.00
311, 3.110, 84, 13010, 436.36
312, 3.120, 80, 13039, 395.45
313, 3.130, 76, 13072, 450.00
314, 3.140, 73, 13097, 340.91
315, 3.150, 69, 13125, 381.82
316, 3.160, 66, 13147, 300.00
317, 3.170, 62, 13171, 327.27
318, 3.180, 59, 13194, 313.64
319, 3.190, 55, 13216, 300.00
320, 3.200, 52, 13238, 300.00
321, 3.210, 49, 13258, 272.73
322, 3.220, 46, 13277, 259.09
323, 3.230, 43, 13293, 218.18
324, 3.240, 40, 13312, 259.09
325, 3.250, 37, 13326, 190.91
326, 3.260, 34, 13342, 218.18
327, 3.270, 31, 13354, 163.64
328, 3.280, 29, 13367, 177.27
329, 3.290, 26, 13377, 136.36
330, 3.300, 24, 13388, 150.00
331, 3.310, 22, 13399, 150.00
332, 3.320, 19, 13406, 95.45
333, 3.330, 17, 13415, 122.73
334, 3.340, 15, 13423, 109.09
335, 3.350, 13, 13429, 81.82
336, 3.360, 12, 13434, 68.18
337, 3.370, 10, 13439, 68.18
338, 3.380, 8, 13442, 40.91
339, 3.390, 7, 13445, 40.91
340, 3.400, 6, 13445, 0.00
341, 3.410, 5, 13447, 27.27
342, 3.420, 4, 13450, 40.91
343, 3.430, 3, 13448, -27.27
344, 3.440, 2, 13448, 0.00
345, 3.450, 1, 13448, 0.00
346, 3.460, 1, 13448, 0.00
347, 3.470, 0, 13448, 0.00
348, 3.480, 0, 13448, 0.00
349, 3.490, 0, 13448, 0.00
350, 3.500, 0, 13448, 0.00
351, 3.510, 0, 13448, 0.00
352, 3.520, 0, 13448, 0.00
353, 3.530, 0, 13448, 0.00
354, 3.540, 1, 13448, 0.00
355, 3.550, 1, 13448, 0.00
356, 3.560, 2, 13448, 0.00
357, 3.570, 3, 13448, 0.00
358, 3.580, 4, 13448, 0.00
359, 3.590, 5, 13448, 0.00
360, 3.600, 6, 13448, 0.00
361, 3.610, 7, 13448, 0.00
362, 3.620, 8, 13448, 0.00
363, 3.630, 10, 13448, 0.00
364, 3.640, 12, 13448, 0.00
365, 3.650, 13, 13448, 0.00
366, 3.660, 15, 13446, -27.27
367, 3.670, 17, 13444, -27.27
368, 3.680, 19, 13447, 40.91
369, 3.690, 22, 13449, 27.27
370, 3.700, 24, 13449, 0.00
371, 3.710, 26, 13450, 13.64
372, 3.720, 29, 13455, 68.18
373, 3.730, 31, 13460, 68.18
374, 3.740, 34, 13464, 54.55
375, 3.750, 37, 13469, 68.18
376, 3.760, 40, 13478, 122.73
377, 3.770, 43, 13483, 68.18
378, 3.780, 46, 13489, 81.82
379, 3.790, 49, 13497, 109.09
380, 3.800, 52, 13505, 109.09
381, 3.810, 55, 13513, 109.09
382, 3.820, 59, 13522, 122.73
383, 3.830, 62, 13530, 109.09
384, 3.840, 66, 13543, 177.27
385, 3.850, 69, 13554, 150.00
386, 3.860, 73, 13567, 177.27
387, 3.870, 76, 13581, 190.91
388, 3.880, 80, 13595, 190.91
389, 3.890, 84, 13614, 259.09
390, 3.900, 88, 13630, 218.18
391, 3.910, 91, 13648, 245.45
392, 3.920, 95, 13667, 259.09
393, 3.930, 99, 13687, 272.73
394, 3.940, 103, 13711, 327.27
395, 3.950, 107, 13732, 286.36
396, 3.960, 111, 13756, 327.27
397, 3.970, 115, 13776, 272.73
398, 3.980, 119, 13802, 354.55
399, 3.990, 123, 13828, 354.55
400, 4.000, 127, 13852, 327.27
401, 4.010, 131, 13877, 340.91
402, 4.020, 135, 13905, 381.82
403, 4.030, 139, 13938, 450.00
404, 4.040, 143, 13969, 422.73
405, 4.050, 147, 14002, 450.00
406, 4.060, 151, 14037, 477.27
407, 4.070, 155, 14071, 463.64
408, 4.080, 159, 14108, 504.55
409, 4.090, 163, 14146, 518.18
410, 4.100, 166, 14180, 463.64
411, 4.110, 170, 14219, 531.82
412, 4.120, 174, 14260, 559.09
413, 4.130, 178, 14299, 531.82
414, 4.140, 181, 14339, 545.45
415, 4.150, 185, 14382, 586.36
416, 4.160, 188, 14426, 600.00
417, 4.170, 192, 14471, 613.64
418, 4.180, 195, 14517, 627.27
419, 4.190, 199, 14565, 654.55
420, 4.200, 202, 14614, 668.18
421, 4.210, 205, 14662, 654.55
422, 4.220, 208, 14710, 654.55
423, 4.230, 211, 14760, 681.82
424, 4.240, 214, 14813, 722.73
425, 4.250, 217, 14869, 763.64
426, 4.260, 220, 14923, 736.36
427, 4.270, 223, 14977, 736.36
428, 4.280, 225, 15033, 763.64
429, 4.290, 228, 15090, 777.27
430, 4.300, 230, 15145, 750.00
431, 4.310, 232, 15201, 763.64
432, 4.320, 235, 15261, 818.18
433, 4.330, 237, 15319, 790.91
434, 4.340, 239, 15377, 790.91
435, 4.350, 241, 15439, 845.45
436, 4.360, 242, 15503, 872.73
437, 4.370, 244, 15565, 845.45
438, 4.380, 246, 15629, 872.73
439, 4.390, 247, 15693, 872.73
440, 4.400, 248, 15757, 872.73
441, 4.410, 249, 15824, 913.64
442, 4.420, 250, 15887, 859.09
443, 4.430, 251, 15954, 913.64
444, 4.440, 252, 16018, 872.73
445, 4.450, 253, 16082, 872.73
446, 4.460, 253, 16152, 954.55
447, 4.470, 254, 16220, 927.27
448, 4.480, 254, 16290, 954.55
449, 4.490, 254, 16357, 913.64
450, 4.500, 255, 16427, 954.55
451, 4.510, 254, 16496, 940.91
452, 4.520, 254, 16566, 954.55
453, 4.530, 254, 16635, 940.91
454, 4.540, 253, 16705, 954.55
